City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Soc Trang,VN,80.6,few clouds,9.6033,105.98,Phu Quy Hotel
443,Sungairaya,ID,78.12,scattered clouds,0.7,108.9,Mess P.Milu
444,Mogadishu,SO,83.01,broken clouds,2.0371,45.3438,Olympic Hotel
446,Prieska,ZA,85.75,clear sky,-29.6641,22.7474,Avenue GuestHouse
449,Isiro,CD,81.59,broken clouds,2.7739,27.616,Guest House Hewa Bora
456,Road Town,VG,82.4,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
460,Vega De Alatorre,MX,75.54,few clouds,20.0333,-96.6333,El Polo Norte
468,Narwar,IN,84.02,clear sky,25.65,77.9,हनुमान मन्दिर
469,Tigre,AR,78.01,scattered clouds,-34.426,-58.5796,Puerto Delta Apartamentos
471,Ambilobe,MG,77.09,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
479,Ternate,ID,81.01,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
481,Jizan,SA,84.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
483,Santa Vitoria Do Palmar,BR,76.33,clear sky,-33.5189,-53.3681,Hostel Comodoro
484,Sao Jose Da Coroa Grande,BR,84.06,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
486,Acarau,BR,84.74,overcast clouds,-2.8856,-40.12,castelo pizzaria
488,Kudahuvadhoo,MV,83.98,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
490,Semporna,MY,77.0,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
494,Galle,LK,80.37,broken clouds,6.0367,80.217,Amangalla
495,Singarayakonda,IN,82.67,few clouds,15.25,80.0333,srinu tiffin shop
500,Veraval,IN,79.45,clear sky,20.9,70.3667,Lords Inn Somnath
502,Esna,EG,87.8,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
505,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
511,Antalaha,MG,78.62,clear sky,-14.9003,50.2788,Hotel Vitasoa
512,Governador Valadares,BR,82.71,overcast clouds,-18.8511,-41.9494,Hotel Panorama
515,Necochea,AR,78.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
516,Tual,ID,83.64,broken clouds,-5.6667,132.75,Grand Vilia Hotel
519,Hambantota,LK,78.8,clear sky,6.1241,81.1185,Bungalow 63
524,Coahuayana,MX,77.0,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
528,Lakatoro,VU,78.82,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
534,Sakakah,SA,75.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
539,Amapa,BR,80.24,overcast clouds,1.0,-52.0,
541,Kirakira,SB,79.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
542,Itaituba,BR,90.57,overcast clouds,-4.2761,-55.9836,Hotel Campos
545,Otanche,CO,78.37,overcast clouds,5.6567,-74.1825,Bello Horizonte
546,Port Keats,AU,78.62,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
547,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
548,Machala,EC,82.4,scattered clouds,-3.2667,-79.9667,Hotel Regal
552,Grand-Santi,GF,83.8,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
554,Jacmel,HT,82.4,broken clouds,18.2342,-72.5347,Hotel Florita
556,Candido De Abreu,BR,81.61,overcast clouds,-24.5669,-51.3333,Hotel Recanto
558,Koforidua,GH,89.6,clear sky,6.0941,-0.2591,Ajaria Royal Palace Hotel
559,Wawa,NG,99.18,clear sky,9.9022,4.4192,
566,Rawson,AR,82.35,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
571,Gigmoto,PH,80.06,broken clouds,13.7796,124.39,Cj's Travellers Inn
573,Monrovia,LR,84.2,light rain,6.3005,-10.7969,Sunset Inn
575,Garowe,SO,89.01,broken clouds,8.4054,48.4845,Curubo Hotel
577,Takoradi,GH,84.43,scattered clouds,4.8845,-1.7554,Raybow International Hotel
581,Gweta,BW,85.19,clear sky,-20.1833,25.2333,Gweta Lodge
585,Imbituba,BR,78.8,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
590,Umtata,ZA,75.2,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
592,Maridi,SS,86.32,broken clouds,4.9158,29.4742,
600,Bonthe,SL,85.8,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
603,Magomeni,TZ,84.2,few clouds,-6.8,39.25,Conway Hotel
608,Sarankhola,BD,78.21,overcast clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
609,Quilmana,PE,77.11,broken clouds,-12.95,-76.3833,HOSPEDAJE PARAISO
610,Banjar,ID,82.4,few clouds,-8.19,114.9675,The Hamsa Resort
611,Champerico,GT,84.2,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
612,San Juan,AR,81.43,overcast clouds,-31.5375,-68.5364,Hotel Provincial
614,Sur,OM,86.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
617,Poso,ID,77.85,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
618,Obera,AR,85.48,overcast clouds,-27.4871,-55.1199,CABAÑAS DORALIA
619,West Bay,KY,79.0,broken clouds,19.3667,-81.4167,Calypso Cove
622,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
623,Alyangula,AU,79.16,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
624,Isangel,VU,76.12,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
625,Funadhoo,MV,84.61,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
627,Sassandra,CI,85.24,scattered clouds,4.95,-6.0833,la terrasse
635,Carutapera,BR,84.07,overcast clouds,-1.195,-46.02,Lidera
637,Samarai,PG,82.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
642,Sibolga,ID,77.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
643,Alirajpur,IN,88.57,clear sky,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
644,Vasai,IN,84.2,haze,19.47,72.8,Go Firne
651,Port Blair,IN,80.24,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
652,Santa Rosa Del Sur,CO,79.2,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
653,Qui Nhon,VN,77.4,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
