City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Vila Velha,BR,2021-04-01 22:53:18,-20.3297,-40.2925,77.0,78,90,2.3
107,Skjervoy,NO,2021-04-01 22:53:19,70.0311,20.9714,34.34,99,100,11.56
108,Hounde,BF,2021-04-01 22:53:19,11.5,-3.5167,85.3,10,0,5.06
109,Saint-Philippe,RE,2021-04-01 22:50:27,-21.3585,55.7679,77.0,69,75,8.05
110,Souillac,MU,2021-04-01 22:50:26,-20.5167,57.5167,78.8,89,40,3.44
111,Cabedelo,BR,2021-04-01 22:50:07,-6.9811,-34.8339,80.6,83,20,5.75
112,Khani,GE,2021-04-01 22:53:20,41.9563,42.9566,46.4,93,90,5.75
113,Saldanha,ZA,2021-04-01 22:53:20,-33.0117,17.9442,59.0,82,80,5.75
114,Lavrentiya,RU,2021-04-01 22:53:20,65.5833,-171.0,3.25,88,100,4.18
115,Khatanga,RU,2021-04-01 22:53:21,71.9667,102.5,-38.63,100,35,3.91
116,Sao Felix Do Xingu,BR,2021-04-01 22:53:21,-6.6447,-51.995,73.29,98,100,1.59
117,Phonhong,LA,2021-04-01 22:53:21,18.5007,102.4166,76.35,48,9,2.28
118,Popondetta,PG,2021-04-01 22:53:22,-8.7537,148.2534,84.04,69,92,2.39
119,Sala,MA,2021-04-01 22:53:22,34.0389,-6.8166,61.0,94,1,3.44
120,Malakal,SS,2021-04-01 22:53:22,9.5334,31.6605,85.06,19,18,3.44
121,Kuvandyk,RU,2021-04-01 22:53:22,51.4781,57.3552,16.09,87,40,5.14
122,Cabo San Lucas,MX,2021-04-01 22:49:51,22.8909,-109.9124,86.0,36,20,9.22
123,Tukrah,LY,2021-04-01 22:53:23,32.5341,20.5791,55.08,62,0,5.26
124,Beyneu,KZ,2021-04-01 22:53:23,45.3167,55.2,44.4,47,38,20.18
125,Umm Kaddadah,SD,2021-04-01 22:53:23,13.6017,26.6876,74.75,14,6,16.91
126,Kastamonu,TR,2021-04-01 22:53:24,41.5,33.6667,36.12,99,100,2.64
127,Bud,US,2021-04-01 22:53:24,39.447,-86.1758,37.99,51,96,14.61
128,Avarua,CK,2021-04-01 22:53:24,-21.2078,-159.775,84.2,74,40,16.11
129,Onguday,RU,2021-04-01 22:53:25,50.75,86.15,25.0,75,7,2.57
130,Prokopyevsk,RU,2021-04-01 22:53:25,53.9059,86.719,11.3,96,49,4.85
131,Bolobo,CD,2021-04-01 22:53:25,-2.1667,16.2333,75.6,79,51,2.71
132,Altay,CN,2021-04-01 22:53:25,47.8667,88.1167,22.93,52,0,8.1
133,Sur,OM,2021-04-01 22:52:02,22.5667,59.5289,82.8,32,4,7.49
134,Zhumadian,CN,2021-04-01 22:53:26,32.9794,114.0294,49.6,94,100,9.91
135,Caravelas,BR,2021-04-01 22:53:26,-17.7125,-39.2481,77.23,89,31,2.93
136,Pingliang,CN,2021-04-01 22:53:26,35.5392,106.6861,40.21,94,100,6.87
137,San Cristobal,VE,2021-04-01 22:53:12,7.7669,-72.225,82.4,69,40,6.91
138,Leningradskiy,RU,2021-04-01 22:53:27,69.3833,178.4167,-0.29,93,97,4.65
139,Sao Joao Da Barra,BR,2021-04-01 22:50:38,-21.6403,-41.0511,74.68,77,33,7.49
140,New Norfolk,AU,2021-04-01 22:53:27,-42.7826,147.0587,61.0,69,100,1.59
141,Bambous Virieux,MU,2021-04-01 22:53:28,-20.3428,57.7575,78.8,89,40,3.44
142,Ambikapur,IN,2021-04-01 22:53:28,23.1167,83.2,65.82,7,0,3.18
143,Dongying,CN,2021-04-01 22:53:28,37.4564,118.4856,54.23,67,100,9.13
144,El Monte,US,2021-04-01 22:53:29,34.0686,-118.0276,86.0,8,1,4.92
145,Lere,NG,2021-04-01 22:53:29,10.387,8.5726,73.45,16,14,3.94
146,Bundaberg,AU,2021-04-01 22:53:29,-24.85,152.35,77.0,83,73,11.5
147,Preston,GB,2021-04-01 22:53:29,53.7667,-2.7167,41.0,80,0,7.34
148,Rawson,AR,2021-04-01 22:53:30,-43.3002,-65.1023,63.79,69,71,13.0
149,Maple Creek,CA,2021-04-01 22:53:30,49.9168,-109.4848,68.0,18,100,17.27
150,Faanui,PF,2021-04-01 22:51:26,-16.4833,-151.75,82.62,69,84,8.72
151,Srednekolymsk,RU,2021-04-01 22:50:25,67.45,153.6833,-4.23,90,76,8.19
152,Takaka,NZ,2021-04-01 22:53:31,-40.85,172.8,63.0,83,88,5.01
