City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Newport,GB,51.5877,-2.9984,57.0,65,15,3.0,few clouds
240,Manta,EC,-0.95,-80.7333,82.4,74,75,5.75,broken clouds
241,Namie,JP,37.4833,141.0,57.0,98,100,3.31,overcast clouds
242,Parana,AR,-31.732,-60.5238,84.99,51,74,3.0,broken clouds
243,Klaksvik,FO,62.2266,-6.589,24.8,68,75,41.43,fog
244,Trogir,HR,43.5125,16.2517,57.2,26,0,11.5,clear sky
245,Arys,KZ,42.4252,68.795,51.8,82,90,15.66,overcast clouds
246,Gimli,CA,50.6336,-96.9907,35.6,64,67,12.66,broken clouds
247,Port Victoria,KE,0.0939,33.9756,74.61,69,97,7.18,overcast clouds
248,Aklavik,CA,68.2191,-135.0107,-16.6,76,40,4.61,scattered clouds
249,Kindu,CD,-2.95,25.95,76.8,81,73,3.49,broken clouds
250,Katobu,ID,-4.9408,122.5276,78.33,85,100,5.1,overcast clouds
251,Mpongwe,ZM,-13.5091,28.155,69.84,77,100,5.91,overcast clouds
252,Gafargaon,BD,24.4333,90.5667,71.6,94,90,23.02,overcast clouds
253,Kavaratti,IN,10.5669,72.642,82.99,68,55,14.58,broken clouds
254,Ilebo,CD,-4.3167,20.5833,71.67,99,100,2.86,light rain
255,Yumen,CN,40.2833,97.2,44.26,42,0,15.26,clear sky
256,Nador,MA,35.174,-2.9287,68.0,63,0,12.66,clear sky
257,Nuuk,GL,64.1835,-51.7216,33.73,96,100,43.13,snow
258,Tigil,RU,57.8,158.6667,24.06,95,100,6.22,light snow
259,Leningradskiy,RU,69.3833,178.4167,-3.12,97,100,6.71,overcast clouds
260,Maicao,CO,11.3832,-72.2432,87.04,52,91,15.99,overcast clouds
261,Tutoia,BR,-2.7619,-42.2744,87.8,70,75,16.11,broken clouds
262,Slave Lake,CA,55.2834,-114.769,33.8,100,90,4.61,mist
263,Goderich,CA,43.7501,-81.7165,41.0,81,12,5.75,few clouds
264,Khatanga,RU,71.9667,102.5,-16.2,91,11,6.06,few clouds
265,Bol,TD,13.4586,14.7147,83.01,53,0,8.9,clear sky
266,Thanh Hoa,VN,19.8,105.7667,72.05,96,93,1.61,overcast clouds
267,Dikson,RU,73.5069,80.5464,6.67,87,100,7.9,overcast clouds
268,Buala,SB,-8.145,159.5921,79.93,84,95,2.71,overcast clouds
269,Qitaihe,CN,45.8,130.85,35.69,44,0,6.87,clear sky
270,Ndele,CF,8.4109,20.6473,100.36,11,37,5.61,scattered clouds
271,Keetmanshoop,NA,-26.5833,18.1333,84.2,28,20,21.85,few clouds
272,Metro,ID,-5.1131,105.3067,76.62,90,100,4.25,overcast clouds
273,Grenaa,DK,56.4158,10.8783,48.2,66,75,17.27,broken clouds
274,Shush,IR,32.1942,48.2436,71.22,14,0,9.35,clear sky
275,San Quintin,MX,30.4833,-115.95,63.39,70,3,10.29,clear sky
276,Kokopo,PG,-4.352,152.2633,76.15,85,100,3.04,light rain
277,Broome,US,42.2506,-75.833,53.01,46,1,10.36,clear sky
278,Okhotsk,RU,59.3833,143.3,19.2,96,100,2.93,overcast clouds
279,Kaeo,NZ,-35.1,173.7833,51.01,94,17,3.31,few clouds
280,Kununurra,AU,-15.7667,128.7333,71.6,94,100,3.31,overcast clouds
281,Banda Aceh,ID,5.5577,95.3222,80.53,78,90,7.02,overcast clouds
282,Port Hedland,AU,-20.3167,118.5667,77.0,53,2,6.91,clear sky
283,Jaroslaw,PL,50.0162,22.6778,45.0,63,98,6.82,overcast clouds
284,Deputatskiy,RU,69.3,139.9,-9.2,99,100,1.3,overcast clouds
285,Macau,MO,22.2006,113.5461,75.2,78,40,10.36,scattered clouds
286,Kembe,CF,4.6228,21.8865,88.54,41,92,3.09,overcast clouds
287,Ulaangom,MN,49.9811,92.0667,33.13,42,0,1.7,clear sky
